Franchise_id,Season,Lg,Team_id,W,L,WL_percentage,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs
CHA,1991,NBA,CHH,31,51,.378,7,-3.57,101.7,5.1,107.1,-1.1,110.9,2.7,,
CHA,1990,NBA,CHH,26,56,.317,7,-4.95,97.3,-0.5,105.0,-2.9,110.4,2.5,,
CHA,1989,NBA,CHH,19,63,.232,7,-7.00,98.1,-0.2,102.0,-6.1,109.9,1.8,,
CHA,1988,NBA,CHH,20,62,.244,6,-7.74,100.3,-0.3,103.7,-4.1,112.1,4.3,,
CHI,2014,NBA,CHI,30,20,.600,1,1.86,93.2,-0.6,107.7,1.9,105.6,-0.2,,
CHI,2013,NBA,CHI,48,34,.585,2,1.20,90.2,-3.7,102.5,-4.2,100.5,-6.2,Lost E. Conf. 1st Rnd.,
CHI,2012,NBA,CHI,45,37,.549,2,-0.02,89.3,-2.7,103.5,-2.4,103.2,-2.7,Lost E. Conf. Semis,
CHI,2011,NBA,CHI,50,16,.758,1,7.43,89.1,-2.2,107.4,2.8,98.3,-6.3,Lost E. Conf. 1st Rnd.,
CHI,2010,NBA,CHI,62,20,.756,1,6.53,90.4,-1.7,108.3,1.0,100.3,-7.0,Lost E. Conf. Finals,
CHI,2009,NBA,CHI,41,41,.500,3,-1.64,93.1,0.4,103.5,-4.1,105.3,-2.3,Lost E. Conf. 1st Rnd.,
CHI,2008,NBA,CHI,41,41,.500,2,-0.16,93.1,1.4,108.4,0.1,108.7,0.4,Lost E. Conf. 1st Rnd.,
